area,setting,survey,gear_type,station,Net ID,net_length_m,net_depth_m,mesh_size_mm,valid_set,year,date_and_time_set,date_and_time_checked,total_soaktime_h,lktr_caught,lktr_wt_g,lktr_wt_kg,lktr_npue_num_per100m2_per24h,lktr_bpue_g_per100m2_per24h,lktr_npue_num_perm2_per24h,lktr_bpue_g_perm2_per24h,lktr_bpue_kg_perm2_per24h,notes_cl
IE,bot,FIGS,benthic,38,,21.9456,1.8288,89,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,1,1120,1.12,2.419399959,2709.727954,0.024194,27.09727954,0.02709728,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,114,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,140,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIH,coney,38,,182.88,6.858,133,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,10.9728,1.8288,13,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,10.9728,1.8288,19,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,10.9728,1.8288,25,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,10.9728,1.8288,32,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,10.9728,1.8288,38,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,21.9456,1.8288,51,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,21.9456,1.8288,64,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,21.9456,1.8288,89,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,21.9456,1.8288,114,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,14,,21.9456,1.8288,140,Y,2011,7/17/2011 9:22,7/18/2011 10:08,24.77,,,0,0,0,0,0,0,
IW,bot,FIH,coney,14,,182.88,6.858,133,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,4,13960,13.96,0.317168631,1106.918522,0.003171686,11.06918522,0.011069185,
IW,p5,FIGS,pelagic,14,,10.9728,3.6576,13,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,10.9728,3.6576,19,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,10.9728,3.6576,25,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,10.9728,3.6576,32,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,10.9728,3.6576,38,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,21.9456,3.6576,51,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,21.9456,3.6576,64,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,21.9456,3.6576,89,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,21.9456,3.6576,114,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IW,p5,FIGS,pelagic,14,,21.9456,3.6576,140,Y,2011,7/17/2011 10:00,7/18/2011 10:08,24.13,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,10.9728,1.8288,13,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,10.9728,1.8288,19,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,10.9728,1.8288,25,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,10.9728,1.8288,32,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,10.9728,1.8288,38,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,21.9456,1.8288,51,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,21.9456,1.8288,64,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,21.9456,1.8288,89,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,21.9456,1.8288,114,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,29,,21.9456,1.8288,140,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,bot,FIH,coney,29,,182.88,6.858,133,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,10.9728,3.6576,13,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,10.9728,3.6576,19,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,10.9728,3.6576,25,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,10.9728,3.6576,32,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,10.9728,3.6576,38,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,21.9456,3.6576,51,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,21.9456,3.6576,64,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,21.9456,3.6576,89,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,21.9456,3.6576,114,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,29,,21.9456,3.6576,140,Y,2011,7/17/2011 10:57,7/18/2011 8:43,21.77,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,5,,10.9728,1.8288,13,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,10.9728,1.8288,19,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,10.9728,1.8288,25,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,10.9728,1.8288,32,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,10.9728,1.8288,38,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,21.9456,1.8288,51,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,21.9456,1.8288,64,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,21.9456,1.8288,89,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,21.9456,1.8288,114,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IW,bot,FIGS,benthic,5,,21.9456,1.8288,140,Y,2011,7/18/2011 11:30,7/19/2011 9:50,22.33,,,0,0,0,0,0,0,CL 04APR2024 added setting guess based on gear type
IE,bot,FIH,coney,37,,182.88,6.858,133,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,10.9728,3.6576,13,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,10.9728,3.6576,19,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,10.9728,3.6576,25,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,10.9728,3.6576,32,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,10.9728,3.6576,38,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,21.9456,3.6576,51,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,21.9456,3.6576,64,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,21.9456,3.6576,89,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,21.9456,3.6576,114,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,37,,21.9456,3.6576,140,Y,2011,7/18/2011 14:15,7/19/2011 9:15,19,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,10.9728,3.6576,13,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,10.9728,3.6576,19,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,10.9728,3.6576,25,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,10.9728,3.6576,32,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,10.9728,3.6576,38,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,21.9456,3.6576,51,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,21.9456,3.6576,64,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,21.9456,3.6576,89,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,21.9456,3.6576,114,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,22,,21.9456,3.6576,140,Y,2011,7/19/2011 11:25,7/20/2011 9:10,21.75,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,10.9728,1.8288,13,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,10.9728,1.8288,19,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,10.9728,1.8288,25,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,10.9728,1.8288,32,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,10.9728,1.8288,38,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,21.9456,1.8288,51,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,21.9456,1.8288,64,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,21.9456,1.8288,89,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,21.9456,1.8288,114,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,22,,21.9456,1.8288,140,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IE,bot,FIH,coney,22,,182.88,6.858,133,Y,2011,7/19/2011 11:33,7/20/2011 9:10,21.62,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,10.9728,1.8288,13,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,10.9728,1.8288,19,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,1,3930,3.93,5.383301034,21156.37306,0.05383301,211.5637306,0.211563731,CL 06apr2024 changed num of lktr_caught from 7 to 1 and lktr_wt_g from 37 to 3930 g based on bio data from LA
IW,bot,FIGS,benthic,17,,10.9728,1.8288,25,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,10.9728,1.8288,32,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,10.9728,1.8288,38,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,21.9456,1.8288,51,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,21.9456,1.8288,64,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,21.9456,1.8288,89,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,21.9456,1.8288,114,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IW,bot,FIGS,benthic,17,,21.9456,1.8288,140,Y,2011,7/19/2011 12:00,7/20/2011 10:13,22.22,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,13,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,19,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,25,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,32,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,38,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,51,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,64,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,89,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,114,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,140,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,1,13960,13.96,1.195990046,16696.02105,0.0119599,166.9602105,0.16696021,
IE,bot,FIH,coney,38,,182.88,6.858,133,N,2011,7/20/2011 8:55,7/22/2011 10:55,,,,0,,,,,,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,13,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,19,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,25,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,32,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,38,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,51,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,64,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,89,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,114,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,140,N,2011,7/20/2011 8:55,7/22/2011 10:55,50,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,13,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,19,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,25,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,32,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,38,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,21.9456,1.8288,51,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,21.9456,1.8288,64,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,21.9456,1.8288,89,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,21.9456,1.8288,114,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,21.9456,1.8288,140,N,2011,7/20/2011 12:06,7/22/2011 9:00,44.9,,,0,0,0,0,0,0,
IE,bot,FIH,coney,38,,182.88,6.858,133,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,13,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,19,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,25,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,32,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,38,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,51,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,64,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,89,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,114,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,140,Y,2011,7/24/2011 10:02,7/25/2011 8:54,22.87,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,13,Y,2011,7/24/2011 10:52,7/25/2011 9:00,22.13,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,19,Y,2011,7/24/2011 10:52,7/25/2011 9:00,22.13,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,25,Y,2011,7/24/2011 10:52,7/25/2011 9:00,22.13,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,21,,10.9728,1.8288,32,Y,2011,7/24/2011 10:52,7/25/2011 9:00,22.13,,,0,0,0,0,0,0,
